"Kod";"Nazwa";"ogółem;2024;[zł]";
3203000;"Powiat drawski";7027,57;
3204000;"Powiat goleniowski";7679,18;
3205000;"Powiat gryficki";7348,49;
3206000;"Powiat gryfiński";7694,24;
3207000;"Powiat kamieński";7173,89;
3208000;"Powiat kołobrzeski";7403,44;
3209000;"Powiat koszaliński";7193,17;
3210000;"Powiat myśliborski";7410,34;
3211000;"Powiat policki";7944,85;
3212000;"Powiat pyrzycki";7288,59;
3213000;"Powiat sławieński";7112,26;
3214000;"Powiat stargardzki";7224,63;
3215000;"Powiat szczecinecki";7520,84;
3216000;"Powiat świdwiński";7057,15;
3217000;"Powiat wałecki";7568,91;
3218000;"Powiat łobeski";7375,31;
3261000;"Powiat m. Koszalin";7872,25;
3262000;"Powiat m. Szczecin";9044,66;
3263000;"Powiat m. Świnoujście";7897,89;
